;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 12/6/2010 11:21:07 PM
;----------------------------------------------

;Address Opcode 	ASM
0x14AC	0x2E0C      	DECFSZ      R12, 1, 0
0x14AE	0xD7FC      	BRA         L_main69
0x14B0	0x0000      	NOP
;pov++.c,444 :: 		PORTA = 240;
0x14B2	0x0EF0      	MOVLW       240
0x14B4	0x6E80      	MOVWF       PORTA 
;pov++.c,445 :: 		Delay_ms(16);
0x14B6	0x0EA7      	MOVLW       167
0x14B8	0x6E0C      	MOVWF       R12, 0
0x14BA	0x0E3A      	MOVLW       58
0x14BC	0x6E0D      	MOVWF       R13, 0
L_main70:
0x14BE	0x2E0D      	DECFSZ      R13, 1, 0
0x14C0	0xD7FE      	BRA         L_main70
0x14C2	0x2E0C      	DECFSZ      R12, 1, 0
0x14C4	0xD7FC      	BRA         L_main70
0x14C6	0x0000      	NOP
;pov++.c,441 :: 		for(n=0;n<32;n++){
0x14C8	0x4A17      	INFSNZ      main_n_L0, 1 
0x14CA	0x2A18      	INCF        main_n_L0+1, 1 
;pov++.c,446 :: 		}
0x14CC	0xD7DE      	BRA         L_main66
L_main67:
;pov++.c,440 :: 		for (repeat=0;repeat<10;repeat++){
0x14CE	0x4A1B      	INFSNZ      main_repeat_L0, 1 
0x14D0	0x2A1C      	INCF        main_repeat_L0+1, 1 
;pov++.c,448 :: 		}  //end repeat
0x14D2	0xD7D0      	BRA         L_main63
L_main64:
;pov++.c,452 :: 		} //end while loop
0x14D4	0xD4E6      	BRA         L_main0
;pov++.c,454 :: 		} //end main
0x14D6	0xD7FF      	BRA         $+0
; end of _main
;pov++.c,130 :: _icon_INVERTED_MOUNTAINS
0x14D8	0xFEFE ;_icon_INVERTED_MOUNTAINS+0
0x14DA	0xF8FC ;_icon_INVERTED_MOUNTAINS+2
0x14DC	0xE0F0 ;_icon_INVERTED_MOUNTAINS+4
0x14DE	0x80C0 ;_icon_INVERTED_MOUNTAINS+6
0x14E0	0x0000 ;_icon_INVERTED_MOUNTAINS+8
0x14E2	0xC080 ;_icon_INVERTED_MOUNTAINS+10
0x14E4	0xF0E0 ;_icon_INVERTED_MOUNTAINS+12
0x14E6	0xFCF8 ;_icon_INVERTED_MOUNTAINS+14
0x14E8	0xFEFE ;_icon_INVERTED_MOUNTAINS+16
0x14EA	0x00 ;_icon_INVERTED_MOUNTAINS+18
; end of _icon_INVERTED_MOUNTAINS
;pov++.c,131 :: _icon_CHECKER
0x14EB	0x55AA ;_icon_CHECKER+0
0x14ED	0x55AA ;_icon_CHECKER+2
0x14EF	0x55AA ;_icon_CHECKER+4
0x14F1	0x55AA ;_icon_CHECKER+6
0x14F3	0x55AA ;_icon_CHECKER+8
0x14F5	0x55AA ;_icon_CHECKER+10
0x14F7	0x55AA ;_icon_CHECKER+12
0x14F9	0x55AA ;_icon_CHECKER+14
0x14FB	0x55AA ;_icon_CHECKER+16
0x14FD	0x00 ;_icon_CHECKER+18
; end of _icon_CHECKER
;pov++.c,128 :: _icon_SPC
0x14FE	0xFFFF ;_icon_SPC+0
0x1500	0xFFFF ;_icon_SPC+2
0x1502	0xFFFF ;_icon_SPC+4
0x1504	0xFFFF ;_icon_SPC+6
0x1506	0xFFFF ;_icon_SPC+8
0x1508	0xFFFF ;_icon_SPC+10
0x150A	0xFFFF ;_icon_SPC+12
0x150C	0xFFFF ;_icon_SPC+14
0x150E	0xFFFF ;_icon_SPC+16
0x1510	0x00 ;_icon_SPC+18
; end of _icon_SPC
;pov++.c,129 :: _icon_MOUNTAINS
0x1511	0x0101 ;_icon_MOUNTAINS+0
0x1513	0x0703 ;_icon_MOUNTAINS+2
0x1515	0x1F0F ;_icon_MOUNTAINS+4
0x1517	0x7F3F ;_icon_MOUNTAINS+6
0x1519	0xFFFF ;_icon_MOUNTAINS+8
0x151B	0x3F7F ;_icon_MOUNTAINS+10
0x151D	0x0F1F ;_icon_MOUNTAINS+12
0x151F	0x0307 ;_icon_MOUNTAINS+14
0x1521	0x0101 ;_icon_MOUNTAINS+16
0x1523	0x00 ;_icon_MOUNTAINS+18
; end of _icon_MOUNTAINS
;pov++.c,132 :: _icon_BLOCK
0x1524	0xFF00 ;_icon_BLOCK+0
0x1526	0xC3FF ;_icon_BLOCK+2
0x1528	0xC3C3 ;_icon_BLOCK+4
0x152A	0xC3C3 ;_icon_BLOCK+6
0x152C	0xC3C3 ;_icon_BLOCK+8
0x152E	0xC3C3 ;_icon_BLOCK+10
0x1530	0xC3C3 ;_icon_BLOCK+12
0x1532	0xFFC3 ;_icon_BLOCK+14
0x1534	0x00FF ;_icon_BLOCK+16
0x1536	0x00 ;_icon_BLOCK+18
; end of _icon_BLOCK
;pov++.c,135 :: _icon_HELICAL
0x1537	0xC3C3 ;_icon_HELICAL+0
0x1539	0xE0C0 ;_icon_HELICAL+2
0x153B	0x7060 ;_icon_HELICAL+4
0x153D	0x1C38 ;_icon_HELICAL+6
0x153F	0xC70F ;_icon_HELICAL+8
0x1541	0xC0C0 ;_icon_HELICAL+10
0x1543	0xC0C0 ;_icon_HELICAL+12
0x1545	0x68E0 ;_icon_HELICAL+14
0x1547	0x3E7C ;_icon_HELICAL+16
0x1549	0x00 ;_icon_HELICAL+18
; end of _icon_HELICAL
;pov++.c,136 :: _icon_INVERTED_HELICAL
0x154A	0x3C3C ;_icon_INVERTED_HELICAL+0
0x154C	0x1F3F ;_icon_INVERTED_HELICAL+2
0x154E	0x8F9F ;_icon_INVERTED_HELICAL+4
0x1550	0xE3C7 ;_icon_INVERTED_HELICAL+6
0x1552	0x38F1 ;_icon_INVERTED_HELICAL+8
0x1554	0x3F3C ;_icon_INVERTED_HELICAL+10
0x1556	0x3F3F ;_icon_INVERTED_HELICAL+12
0x1558	0x971F ;_icon_INVERTED_HELICAL+14
0x155A	0xC183 ;_icon_INVERTED_HELICAL+16
0x155C	0x00 ;_icon_INVERTED_HELICAL+18
; end of _icon_INVERTED_HELICAL
;pov++.c,133 :: _icon_SMILEY
0x155D	0x0000 ;_icon_SMILEY+0
0x155F	0x817E ;_icon_SMILEY+2
0x1561	0x8981 ;_icon_SMILEY+4
0x1563	0xA585 ;_icon_SMILEY+6
0x1565	0x8585 ;_icon_SMILEY+8
0x1567	0xA585 ;_icon_SMILEY+10
0x1569	0x8985 ;_icon_SMILEY+12
0x156B	0x8181 ;_icon_SMILEY+14
0x156D	0x007E ;_icon_SMILEY+16
0x156F	0x00 ;_icon_SMILEY+18
; end of _icon_SMILEY
;pov++.c,134 :: _icon_GREEK
0x1570	0xFE02 ;_icon_GREEK+0
0x1572	0x8080 ;_icon_GREEK+2
0x1574	0x929E ;_icon_GREEK+4
0x1576	0xF292 ;_icon_GREEK+6
0x1578	0x0202 ;_icon_GREEK+8
0x157A	0x80FE ;_icon_GREEK+10
0x157C	0x9E80 ;_icon_GREEK+12
0x157E	0x9292 ;_icon_GREEK+14
0x1580	0x02F2 ;_icon_GREEK+16
0x1582	0x00 ;_icon_GREEK+18
; end of _icon_GREEK
;pov++.c,105 :: _letter_UNDERSCORE
0x1583	0x0101 ;_letter_UNDERSCORE+0
0x1585	0x0101 ;_letter_UNDERSCORE+2
0x1587	0x0101 ;_letter_UNDERSCORE+4
0x1589	0x0001 ;_letter_UNDERSCORE+6
; end of _letter_UNDERSCORE
;pov++.c,106 :: _letter_PLUS
0x158B	0x0808 ;_letter_PLUS+0
0x158D	0xFF08 ;_letter_PLUS+2
0x158F	0x0808 ;_letter_PLUS+4
0x1591	0x0008 ;_letter_PLUS+6
; end of _letter_PLUS
;pov++.c,103 :: _letter_RIGHT_PAREN
0x1593	0x0000 ;_letter_RIGHT_PAREN+0
0x1595	0x7E81 ;_letter_RIGHT_PAREN+2
0x1597	0x0000 ;_letter_RIGHT_PAREN+4
0x1599	0x0000 ;_letter_RIGHT_PAREN+6
; end of _letter_RIGHT_PAREN
;pov++.c,104 :: _letter_DASH
0x159B	0x0808 ;_letter_DASH+0
0x159D	0x0808 ;_letter_DASH+2
0x159F	0x0808 ;_letter_DASH+4
0x15A1	0x0008 ;_letter_DASH+6
; end of _letter_DASH
;pov++.c,109 :: _letter_TICK
0x15A3	0x0000 ;_letter_TICK+0
0x15A5	0x7060 ;_letter_TICK+2
0x15A7	0x0000 ;_letter_TICK+4
0x15A9	0x0000 ;_letter_TICK+6
; end of _letter_TICK
;pov++.c,110 :: _letter_COLON
0x15AB	0x0000 ;_letter_COLON+0
0x15AD	0x6666 ;_letter_COLON+2
0x15AF	0x0000 ;_letter_COLON+4
0x15B1	0x0000 ;_letter_COLON+6
; end of _letter_COLON
;pov++.c,107 :: _letter_EQUALS
0x15B3	0x2424 ;_letter_EQUALS+0
0x15B5	0x2424 ;_letter_EQUALS+2
0x15B7	0x2424 ;_letter_EQUALS+4
0x15B9	0x0024 ;_letter_EQUALS+6
; end of _letter_EQUALS
;pov++.c,108 :: _letter_TILDE
0x15BB	0x3010 ;_letter_TILDE+0
0x15BD	0x2020 ;_letter_TILDE+2
0x15BF	0x3010 ;_letter_TILDE+4
0x15C1	0x0020 ;_letter_TILDE+6
; end of _letter_TILDE
;pov++.c,97 :: _letter_DOLLAR
0x15C3	0x5224 ;_letter_DOLLAR+0
0x15C5	0xFF52 ;_letter_DOLLAR+2
0x15C7	0x4A4A ;_letter_DOLLAR+4
0x15C9	0x0024 ;_letter_DOLLAR+6
; end of _letter_DOLLAR
;pov++.c,98 :: _letter_PERCENT
0x15CB	0xA241 ;_letter_PERCENT+0
0x15CD	0x1844 ;_letter_PERCENT+2
0x15CF	0x4522 ;_letter_PERCENT+4
0x15D1	0x0082 ;_letter_PERCENT+6
; end of _letter_PERCENT
;pov++.c,95 :: _letter_AT
0x15D3	0x7E00 ;_letter_AT+0
0x15D5	0xA599 ;_letter_AT+2
0x15D7	0x99A5 ;_letter_AT+4
0x15D9	0x0078 ;_letter_AT+6
; end of _letter_AT
;pov++.c,96 :: _letter_NUM
0x15DB	0xFF24 ;_letter_NUM+0
0x15DD	0x2424 ;_letter_NUM+2
0x15DF	0xFF24 ;_letter_NUM+4
0x15E1	0x0024 ;_letter_NUM+6
; end of _letter_NUM
;pov++.c,101 :: _letter_ASTERISK
0x15E3	0x2AC9 ;_letter_ASTERISK+0
0x15E5	0xFF1C ;_letter_ASTERISK+2
0x15E7	0x2A1C ;_letter_ASTERISK+4
0x15E9	0x00C9 ;_letter_ASTERISK+6
; end of _letter_ASTERISK
;pov++.c,102 :: _letter_LEFT_PAREN
0x15EB	0x0000 ;_letter_LEFT_PAREN+0
0x15ED	0x7E00 ;_letter_LEFT_PAREN+2
0x15EF	0x0081 ;_letter_LEFT_PAREN+4
0x15F1	0x0000 ;_letter_LEFT_PAREN+6
; end of _letter_LEFT_PAREN
;pov++.c,99 :: _letter_CARRAT
0x15F3	0x300C ;_letter_CARRAT+0
0x15F5	0x8040 ;_letter_CARRAT+2
0x15F7	0x3040 ;_letter_CARRAT+4
0x15F9	0x000C ;_letter_CARRAT+6
; end of _letter_CARRAT
;pov++.c,100 :: _letter_AMPERSAND
0x15FB	0xA343 ;_letter_AMPERSAND+0
0x15FD	0x8995 ;_letter_AMPERSAND+2
0x15FF	0x938D ;_letter_AMPERSAND+4
0x1601	0x0072 ;_letter_AMPERSAND+6
; end of _letter_AMPERSAND
;pov++.c,111 :: _letter_SEMICOLON
0x1603	0x0000 ;_letter_SEMICOLON+0
0x1605	0x6766 ;_letter_SEMICOLON+2
0x1607	0x0000 ;_letter_SEMICOLON+4
0x1609	0x0000 ;_letter_SEMICOLON+6
; end of _letter_SEMICOLON
;pov++.c,52 :: _letter_newline
0x160B	0x0000 ;_letter_newline+0
0x160D	0x0000 ;_letter_newline+2
0x160F	0x0000 ;_letter_newline+4
0x1611	0x0000 ;_letter_newline+6
; end of _letter_newline
;pov++.c,122 :: _letter_CENTS
0x1613	0x3C00 ;_letter_CENTS+0
0x1615	0xFF42 ;_letter_CENTS+2
0x1617	0x2442 ;_letter_CENTS+4
0x1619	0x0000 ;_letter_CENTS+6
; end of _letter_CENTS
;pov++.c,119 :: _letter_SMILIE
0x161B	0x897E ;_letter_SMILIE+0
0x161D	0x85A5 ;_letter_SMILIE+2
0x161F	0x89A5 ;_letter_SMILIE+4
0x1621	0x007E ;_letter_SMILIE+6
; end of _letter_SMILIE
;pov++.c,120 :: _letter_HEART
0x1623	0xFC78 ;_letter_HEART+0
0x1625	0x3F7E ;_letter_HEART+2
0x1627	0xFC7E ;_letter_HEART+4
0x1629	0x0078 ;_letter_HEART+6
; end of _letter_HEART
;pov++.c,124 :: _letter_PILCROW
0x162B	0x3000 ;_letter_PILCROW+0
0x162D	0xFF78 ;_letter_PILCROW+2
0x162F	0xFF80 ;_letter_PILCROW+4
0x1631	0x0000 ;_letter_PILCROW+6
; end of _letter_PILCROW
;pov++.c,125 :: _letter_BULLET
0x1633	0x3C00 ;_letter_BULLET+0
0x1635	0x7E7E ;_letter_BULLET+2
0x1637	0x3C7E ;_letter_BULLET+4
0x1639	0x0000 ;_letter_BULLET+6
; end of _letter_BULLET
;pov++.c,121 :: _letter_DEGREE
0x163B	0x3000 ;_letter_DEGREE+0
0x163D	0x4048 ;_letter_DEGREE+2
0x163F	0x0030 ;_letter_DEGREE+4
0x1641	0x0000 ;_letter_DEGREE+6
; end of _letter_DEGREE
;pov++.c,123 :: _letter_EURO
0x1643	0x7E14 ;_letter_EURO+0
0x1645	0x9595 ;_letter_EURO+2
0x1647	0x4281 ;_letter_EURO+4
0x1649	0x0000 ;_letter_EURO+6
; end of _letter_EURO
;pov++.c,114 :: _letter_LEFT_CHEVRON
0x164B	0x2400 ;_letter_LEFT_CHEVRON+0
0x164D	0x8142 ;_letter_LEFT_CHEVRON+2
0x164F	0x0000 ;_letter_LEFT_CHEVRON+4
0x1651	0x0000 ;_letter_LEFT_CHEVRON+6
; end of _letter_LEFT_CHEVRON
;pov++.c,115 :: _letter_RIGHT_CHEVRON
0x1653	0x8100 ;_letter_RIGHT_CHEVRON+0
0x1655	0x2642 ;_letter_RIGHT_CHEVRON+2
0x1657	0x1818 ;_letter_RIGHT_CHEVRON+4
0x1659	0x0000 ;_letter_RIGHT_CHEVRON+6
; end of _letter_RIGHT_CHEVRON
;pov++.c,112 :: _letter_BACK_SLASH
0x165B	0x0201 ;_letter_BACK_SLASH+0
0x165D	0x1804 ;_letter_BACK_SLASH+2
0x165F	0x4020 ;_letter_BACK_SLASH+4
0x1661	0x0080 ;_letter_BACK_SLASH+6
; end of _letter_BACK_SLASH
;pov++.c,113 :: _letter_FORWARD_SLASH
0x1663	0x4080 ;_letter_FORWARD_SLASH+0
0x1665	0x1820 ;_letter_FORWARD_SLASH+2
0x1667	0x0204 ;_letter_FORWARD_SLASH+4
0x1669	0x0001 ;_letter_FORWARD_SLASH+6
; end of _letter_FORWARD_SLASH
;pov++.c,118 :: _letter_RIGHT_BRACKET
0x166B	0x8100 ;_letter_RIGHT_BRACKET+0
0x166D	0xFF81 ;_letter_RIGHT_BRACKET+2
0x166F	0x0000 ;_letter_RIGHT_BRACKET+4
0x1671	0x0000 ;_letter_RIGHT_BRACKET+6
; end of _letter_RIGHT_BRACKET
;pov++.c,51 :: _letter_SPC
0x1673	0x0000 ;_letter_SPC+0
0x1675	0x0000 ;_letter_SPC+2
0x1677	0x0000 ;_letter_SPC+4
0x1679	0x0000 ;_letter_SPC+6
; end of _letter_SPC
;pov++.c,116 :: _letter_TAB
0x167B	0xFFFF ;_letter_TAB+0
0x167D	0xFFFF ;_letter_TAB+2
0x167F	0xFFFF ;_letter_TAB+4
0x1681	0x00FF ;_letter_TAB+6
; end of _letter_TAB
;pov++.c,117 :: _letter_LEFT_BRACKET
0x1683	0x0000 ;_letter_LEFT_BRACKET+0
0x1685	0xFF00 ;_letter_LEFT_BRACKET+2
0x1687	0x8181 ;_letter_LEFT_BRACKET+4
0x1689	0x0000 ;_letter_LEFT_BRACKET+6
; end of _letter_LEFT_BRACKET
;pov++.c,67 :: _letter_O
0x168B	0x817E ;_letter_O+0
0x168D	0x8181 ;_letter_O+2
0x168F	0x8181 ;_letter_O+4
0x1691	0x007E ;_letter_O+6
; end of _letter_O
;pov++.c,68 :: _letter_P
0x1693	0x88FF ;_letter_P+0
0x1695	0x8888 ;_letter_P+2
0x1697	0x8888 ;_letter_P+4
0x1699	0x0070 ;_letter_P+6
; end of _letter_P
;pov++.c,66 :: _letter_N
0x169B	0x40FF ;_letter_N+0
0x169D	0x1020 ;_letter_N+2
0x169F	0x0408 ;_letter_N+4
0x16A1	0x00FF ;_letter_N+6
; end of _letter_N
;pov++.c,64 :: _letter_L
0x16A3	0x01FF ;_letter_L+0
0x16A5	0x0101 ;_letter_L+2
0x16A7	0x0101 ;_letter_L+4
0x16A9	0x0001 ;_letter_L+6
; end of _letter_L
;pov++.c,65 :: _letter_M
0x16AB	0x80FF ;_letter_M+0
0x16AD	0x7080 ;_letter_M+2
0x16AF	0x8080 ;_letter_M+4
0x16B1	0x00FF ;_letter_M+6
; end of _letter_M
;pov++.c,72 :: _letter_T
0x16B3	0x8080 ;_letter_T+0
0x16B5	0xFF80 ;_letter_T+2
0x16B7	0x8080 ;_letter_T+4
0x16B9	0x0080 ;_letter_T+6
; end of _letter_T
;pov++.c,73 :: _letter_U
0x16BB	0x01FF ;_letter_U+0
0x16BD	0x0101 ;_letter_U+2
0x16BF	0x0101 ;_letter_U+4
0x16C1	0x00FF ;_letter_U+6
; end of _letter_U
;pov++.c,71 :: _letter_S
0x16C3	0x9162 ;_letter_S+0
0x16C5	0x9191 ;_letter_S+2
0x16C7	0x8989 ;_letter_S+4
0x16C9	0x0046 ;_letter_S+6
; end of _letter_S
;pov++.c,69 :: _letter_Q
0x16CB	0x827C ;_letter_Q+0
0x16CD	0x868A ;_letter_Q+2
0x16CF	0x8283 ;_letter_Q+4
0x16D1	0x007C ;_letter_Q+6
; end of _letter_Q
;pov++.c,70 :: _letter_R
0x16D3	0x88FF ;_letter_R+0
0x16D5	0x8888 ;_letter_R+2
0x16D7	0x8A8C ;_letter_R+4
0x16D9	0x0071 ;_letter_R+6
; end of _letter_R
;pov++.c,63 :: _letter_K
0x16DB	0x10FF ;_letter_K+0
0x16DD	0x1010 ;_letter_K+2
0x16DF	0x4428 ;_letter_K+4
0x16E1	0x0083 ;_letter_K+6
; end of _letter_K
;pov++.c,56 :: _letter_D
0x16E3	0x81FF ;_letter_D+0
0x16E5	0x8181 ;_letter_D+2
0x16E7	0x4681 ;_letter_D+4
0x16E9	0x003C ;_letter_D+6
; end of _letter_D
;pov++.c,57 :: _letter_E
0x16EB	0x89FF ;_letter_E+0
0x16ED	0x8989 ;_letter_E+2
0x16EF	0x8181 ;_letter_E+4
0x16F1	0x0081 ;_letter_E+6
; end of _letter_E
;pov++.c,55 :: _letter_C
0x16F3	0x817E ;_letter_C+0
0x16F5	0x8181 ;_letter_C+2
0x16F7	0x8181 ;_letter_C+4
0x16F9	0x0042 ;_letter_C+6
; end of _letter_C
;pov++.c,53 :: _letter_A
0x16FB	0x241F ;_letter_A+0
0x16FD	0x8444 ;_letter_A+2
0x16FF	0x2444 ;_letter_A+4
0x1701	0x001F ;_letter_A+6
; end of _letter_A
;pov++.c,54 :: _letter_B
0x1703	0x89FF ;_letter_B+0
0x1705	0x8989 ;_letter_B+2
0x1707	0x8989 ;_letter_B+4
0x1709	0x0076 ;_letter_B+6
; end of _letter_B
;pov++.c,61 :: _letter_I
0x170B	0x8181 ;_letter_I+0
0x170D	0xFF81 ;_letter_I+2
0x170F	0x8181 ;_letter_I+4
0x1711	0x0081 ;_letter_I+6
; end of _letter_I
;pov++.c,62 :: _letter_J
0x1713	0x818E ;_letter_J+0
0x1715	0xFE81 ;_letter_J+2
0x1717	0x8080 ;_letter_J+4
0x1719	0x0080 ;_letter_J+6
; end of _letter_J
;pov++.c,60 :: _letter_H
0x171B	0x08FF ;_letter_H+0
0x171D	0x0808 ;_letter_H+2
0x171F	0x0808 ;_letter_H+4
0x1721	0x00FF ;_letter_H+6
; end of _letter_H
;pov++.c,58 :: _letter_F
0x1723	0x88FF ;_letter_F+0
0x1725	0x8888 ;_letter_F+2
0x1727	0x8088 ;_letter_F+4
0x1729	0x0080 ;_letter_F+6
; end of _letter_F
;pov++.c,59 :: _letter_G
0x172B	0x817E ;_letter_G+0
0x172D	0x8981 ;_letter_G+2
0x172F	0x8F89 ;_letter_G+4
0x1731	0x0048 ;_letter_G+6
; end of _letter_G
;pov++.c,88 :: _letter_9
0x1733	0x8970 ;_letter_9+0
0x1735	0x8189 ;_letter_9+2
0x1737	0x8989 ;_letter_9+4
0x1739	0x007E ;_letter_9+6
; end of _letter_9
;pov++.c,89 :: _letter_PERIOD
0x173B	0x0000 ;_letter_PERIOD+0
0x173D	0x0F00 ;_letter_PERIOD+2
0x173F	0x0007 ;_letter_PERIOD+4
0x1741	0x0000 ;_letter_PERIOD+6
; end of _letter_PERIOD
;pov++.c,87 :: _letter_8
0x1743	0x8976 ;_letter_8+0
0x1745	0x8189 ;_letter_8+2
0x1747	0x8989 ;_letter_8+4
0x1749	0x0076 ;_letter_8+6
; end of _letter_8
;pov++.c,85 :: _letter_6
0x174B	0x897E ;_letter_6+0
0x174D	0x8989 ;_letter_6+2
0x174F	0x8989 ;_letter_6+4
0x1751	0x0086 ;_letter_6+6
; end of _letter_6
;pov++.c,86 :: _letter_7
0x1753	0x8080 ;_letter_7+0
0x1755	0x8F80 ;_letter_7+2
0x1757	0xA090 ;_letter_7+4
0x1759	0x00C0 ;_letter_7+6
; end of _letter_7
;pov++.c,93 :: _letter_QUESTION
0x175B	0x6000 ;_letter_QUESTION+0
0x175D	0x8D80 ;_letter_QUESTION+2
0x175F	0x9090 ;_letter_QUESTION+4
0x1761	0x0060 ;_letter_QUESTION+6
; end of _letter_QUESTION
;pov++.c,94 :: _letter_EXCLAIM
0x1763	0x0000 ;_letter_EXCLAIM+0
0x1765	0xFD00 ;_letter_EXCLAIM+2
0x1767	0x0000 ;_letter_EXCLAIM+4
0x1769	0x0000 ;_letter_EXCLAIM+6
; end of _letter_EXCLAIM
;pov++.c,92 :: _letter_SINGLE_QUOTE
0x176B	0x0000 ;_letter_SINGLE_QUOTE+0
0x176D	0x7800 ;_letter_SINGLE_QUOTE+2
0x176F	0x0078 ;_letter_SINGLE_QUOTE+4
0x1771	0x0000 ;_letter_SINGLE_QUOTE+6
; end of _letter_SINGLE_QUOTE
;pov++.c,90 :: _letter_COMMA
0x1773	0x0000 ;_letter_COMMA+0
0x1775	0x0600 ;_letter_COMMA+2
0x1777	0x0007 ;_letter_COMMA+4
0x1779	0x0000 ;_letter_COMMA+6
; end of _letter_COMMA
;pov++.c,91 :: _letter_QUOTE
0x177B	0x7800 ;_letter_QUOTE+0
0x177D	0x0078 ;_letter_QUOTE+2
0x177F	0x7878 ;_letter_QUOTE+4
0x1781	0x0000 ;_letter_QUOTE+6
; end of _letter_QUOTE
;pov++.c,84 :: _letter_5
0x1783	0x8979 ;_letter_5+0
0x1785	0x8989 ;_letter_5+2
0x1787	0x8989 ;_letter_5+4
0x1789	0x0086 ;_letter_5+6
; end of _letter_5
;pov++.c,77 :: _letter_Y
0x178B	0x0080 ;_letter_Y+0
0x178D	0x1F20 ;_letter_Y+2
0x178F	0x4020 ;_letter_Y+4
0x1791	0x0080 ;_letter_Y+6
; end of _letter_Y
;pov++.c,78 :: _letter_Z
0x1793	0x8583 ;_letter_Z+0
0x1795	0x9189 ;_letter_Z+2
0x1797	0xC1A1 ;_letter_Z+4
0x1799	0x0081 ;_letter_Z+6
; end of _letter_Z
;pov++.c,76 :: _letter_X
0x179B	0x0281 ;_letter_X+0
0x179D	0x1824 ;_letter_X+2
0x179F	0x4224 ;_letter_X+4
0x17A1	0x0081 ;_letter_X+6
; end of _letter_X
;pov++.c,74 :: _letter_V
0x17A3	0x04F8 ;_letter_V+0
0x17A5	0x0102 ;_letter_V+2
0x17A7	0x0402 ;_letter_V+4
0x17A9	0x00F8 ;_letter_V+6
; end of _letter_V
;pov++.c,75 :: _letter_W
0x17AB	0x01FE ;_letter_W+0
0x17AD	0x0E01 ;_letter_W+2
0x17AF	0x0101 ;_letter_W+4
0x17B1	0x00FE ;_letter_W+6
; end of _letter_W
;pov++.c,82 :: _letter_3
0x17B3	0x8142 ;_letter_3+0
0x17B5	0x8981 ;_letter_3+2
0x17B7	0x9589 ;_letter_3+4
0x17B9	0x0062 ;_letter_3+6
; end of _letter_3
;pov++.c,83 :: _letter_4
0x17BB	0x0C00 ;_letter_4+0
0x17BD	0x2414 ;_letter_4+2
0x17BF	0xFF44 ;_letter_4+4
0x17C1	0x0004 ;_letter_4+6
; end of _letter_4
;pov++.c,81 :: _letter_2
0x17C3	0x8341 ;_letter_2+0
0x17C5	0x8985 ;_letter_2+2
0x17C7	0x9189 ;_letter_2+4
0x17C9	0x0063 ;_letter_2+6
; end of _letter_2
;pov++.c,79 :: _letter_0
0x17CB	0x7E00 ;_letter_0+0
0x17CD	0x8985 ;_letter_0+2
0x17CF	0xA191 ;_letter_0+4
0x17D1	0x007E ;_letter_0+6
; end of _letter_0
;pov++.c,80 :: _letter_1
0x17D3	0x2100 ;_letter_1+0
0x17D5	0xFF41 ;_letter_1+2
0x17D7	0x0101 ;_letter_1+4
0x17D9	0x0000 ;_letter_1+6
; end of _letter_1
Symbol List:
//** Routines locations **
//ADDRESS    SIZE    PROCEDURE
//----------------------------------------------
0x001C    [3212]    _printChar
0x0CA8     [472]    _printIcon
0x0E80      [16]    ___CC2DW
0x0E90    [1608]    _main
//** Variables locations ** 
//ADDRESS    SIZE    VARIABLE
//----------------------------------------------
0x0000       [1]    FLASH_Erase_64_SaveINTCON_L0
0x0000       [1]    __Lib_SoftI2C_PutZerosToLATSda_temp_sda_L0
0x0000       [1]    UART1_Init_tmp_L0
0x0000       [1]    __Lib_SoftI2C_PutZerosToLATScl_temp_scl_L0
0x0000       [1]    R0
0x0000       [1]    SPI1_Write_tmp_L0
0x0000       [1]    EEPROM_Write_SaveINTCON_L0
0x0001       [1]    ispunct_rslt_L0
0x0001       [2]    printIcon_n_L0
0x0001       [1]    FLASH_Write_64_i_L0
0x0001       [1]    __Lib_PS2_Wait_Falling_nsample_L0
0x0001       [1]    FLASH_Erase_Write_64_i_L0
0x0001       [2]    printChar_n_L0
0x0001       [1]    I2C1_Rd_tmp_L0
0x0001       [1]    R1
0x0001       [1]    UART1_Read___tmp_UART1_Read_L0
0x0001       [2]    FLASH_Read_N_Bytes_i_L0
0x0002       [2]    memcpy_dd_L0
0x0002       [2]    memchr_s_L0
0x0002       [1]    FLASH_Write_64_SaveINTCON_L0
0x0002       [1]    R2
0x0002       [2]    strlen_cp_L0
0x0002       [1]    FLASH_Erase_Write_64_j_L0
0x0002       [2]    memset_pp_L0
0x0003       [2]    Ltrim_original_L0
0x0003       [1]    R3
0x0003       [1]    __Lib_CAN_C_A_CANIDToRegs_loVal_L0
0x0003       [2]    memmove_tt_L0
0x0003       [1]    FLASH_Erase_Write_64_SaveINTCON_L0
0x0004       [1]    R4
0x0004       [2]    memcpy_ss_L0
0x0004       [2]    strcat_cp_L0
0x0004       [2]    strcpy_cp_L0
0x0004       [2]    strncpy_cp_L0
0x0004       [2]    strncat_cp_L0
0x0004       [1]    __Lib_CAN_C_A_CANIDToRegs_hiVal_L0
0x0004       [2]    frexp_pom_L0
0x0005       [2]    Ltrim_p_L0
0x0005       [2]    LongIntToHex_input_half_L0
0x0005       [2]    memmove_ff_L0
0x0005       [1]    __Lib_CAN_C_A_CANIDToRegs_hrVal_L0
0x0005       [1]    R5
0x0005       [2]    LongWordToHex_input_half_L0
0x0006       [1]    R6
